active;priority;category;target_column;match_field;match_type;pattern;set_value;mode;comment;conditions_json
0;10;Мыло;Подкатегория;Название;contains;жидкое;Жидкое мыло;overwrite;Базовая классификация мыла;
0;20;Мыло;Тип;Название;contains;хозяйственное;Хозяйственное;overwrite;Тип мыла;
0;30;Спред;Тип;Название;contains;вега;Вега-спред;overwrite;Тип спреда;
0;40;*;Бренд;SKU;equals;123456789;ПримерБренд;fill_empty;Пример дозаполнения бренда по SKU для всех категорий;
1;41;Мыло хозяйственное;Подкатегория;Категория;contains;хозяйств;Хозяйственное;fill_empty;Хоз.мыло определяет по категории;
1;50;Мыло;Подкатегория;Название;contains;жидк;Жидкое;fill_empty;Жидкое определяем;"[{""join_with_prev"": ""and"", ""match_field"": ""Название"", ""match_type"": ""contains"", ""pattern"": ""жидк""}, {""join_with_prev"": ""or"", ""match_field"": ""Название"", ""match_type"": ""contains"", ""pattern"": ""крем""}]"
1;60;Мыло;Подкатегория;Название;contains;тверд;Твердое;fill_empty;Твердое определяем;"[{""join_with_prev"": ""and"", ""match_field"": ""Название"", ""match_type"": ""contains"", ""pattern"": ""тверд""}, {""join_with_prev"": ""or"", ""match_field"": ""Название"", ""match_type"": ""contains"", ""pattern"": ""твёрд""}, {""join_with_prev"": ""or"", ""match_field"": ""Название"", ""match_type"": ""contains"", ""pattern"": ""туалетн""}]"
1;42;Мыло;Подкатегория;Название;contains;хозяйств;Хозяйственное;fill_empty;Хоз.мыло опеределяет по названию;
1;43;Мыло хозяйственное;Категория;Категория;equals;Мыло хозяйственное;Мыло;overwrite;Перезаписывает хозяйственное мыло как мыло;
1;70;Мясо;Вид мяса;Название;regex;(?:свинина\s*[-/]\s*говядина|говядина\s*[-/]\s*свинина|из\s+свинин\w*\s+и\s+говядин\w*|из\s+говядин\w*\s+и\s+свинин\w*|говядин\w*\s+и\s+свинин\w*|свинин\w*\s+и\s+говядин\w*|свино\s*[-/ ]?\s*говяж\w*|говяж\w*\s*[-/ ]?\s*свин\w*|свиноговяж\w*);свинина-говядина;overwrite;Мясо: смесь свинина+говядина (узкий паттерн, выше одиночных видов);
1;75;Мясо;Вид мяса;Название;regex;^(?=.*(?:свинин\w*|свин\w*))(?!.*(?:говядин\w*|говяж\w*)).*$;свинина;overwrite;Мясо: свинина без явной смеси с говядиной;
1;80;Мясо;Вид мяса;Название;regex;^(?=.*(?:говядин\w*|говяж\w*))(?!.*свин\w*).*$;говядина;overwrite;Мясо: говядина без явной смеси со свининой;
1;85;Мясо;Вид мяса;Название;regex;(?i)(?:баран|ягнён|ягнен|ягнят|бараш);баранина;overwrite;Мясо: баранина/ягнёнок (объединено);
1;90;Мясо;Вид мяса;Название;regex;(?i)(?<![a-zа-яё])(?:курин|кур(?!орт|ьер|ск|кум)|грудк|цыпл|индей|индю|утк|утин|утенок|гус|перепел|петелин);птица;overwrite;Мясо: птица (по типичным маркерам в названиях);
1;94;Мясо;Подкатегория;;otherwise;;Прочее;overwrite;Мясо: остаток по новому справочнику;
1;100;Мясо;Подкатегория;Название;regex;(?:котлет\w*|биточ\w*|митбол\w*|тефтел\w*|фрикадел\w*|наггет\w*|стрипс\w*|кордон\w*|киевск\w*|зраз\w*|бургер\w*);Кулинария;overwrite;Мясо: готовая кулинария по справочнику;
1;105;Мясо;Подкатегория;Название;regex;(?:купат\w*|колбас\w*|сосиск\w*|сардельк\w*|сервелат\w*|чевапчич\w*|люля(?:[-\s]?кебаб)?|кебаб);Колбаски;overwrite;Мясо: колбаски, сосиски, колбаса, сервелат, чевапчичи и люля;
1;110;Мясо;Подкатегория;Название;regex;^\s*(?:слово\s+мясника\s+)?фарш(?!ир)[a-zа-яё]*;Фарш;overwrite;Мясо: фарш, без фаршированных изделий;
1;115;Мясо;Подкатегория;Название;regex;(?:корейк\w*|шейк\w*|шея\b|окорок\w*|бедр\w*|карбонад\w*|карбонат\w*|лопатк\w*|вырезк\w*|грудинк\w*|тушк\w*);Крупнокусковые;overwrite;Мясо: крупные отрубы по справочнику;
1;120;Мясо;Подкатегория;Название;regex;(?:гуляш\w*|рагу\w*|поджарк\w*|азу\b|супов\w*);Мелкокусковые;overwrite;Мясо: мелкокусковые позиции;
1;125;Мясо;Подкатегория;Название;regex;(?:шницел\w*|отбивн\w*|эскалоп\w*);Порционные;overwrite;Мясо: порционные позиции;
1;130;Мясо;Подкатегория;Название;regex;(?:ребр|рёбр|ребрыш|рёбрыш)\w*;Ребра крупнокусковые;overwrite;Мясо: ребра без маринадной специализации;
1;135;Мясо;Подкатегория;Название;regex;(?:сат[эе]|соте|satay|каджун|маринад|с\s+пряност|стейк|стеик|рибай|карбонад\w*.*праздничн\w*.*(?:1[,.]3\s*кг|1300\s*г));Маринады;overwrite;Мясо: маринады, сатэ/соте, каджун и стейки;
1;140;Мясо;Подкатегория;Название;regex;шашлык\w*;Шашлык;overwrite;Мясо: шашлык выделяется отдельно от маринадов;
1;145;Мясо;Подкатегория;Название;regex;(?:ребр|рёбр|ребрыш|рёбрыш)\w*;Ребрышки маринадные;overwrite;Мясо: ребра/ребрышки в маринаде;"[{""join_with_prev"": ""and"", ""match_field"": ""Название"", ""match_type"": ""contains"", ""pattern"": ""маринад""}]"
1;150;Мясо;Тип;Подкатегория;equals;Колбаски;Другое;overwrite;Мясо/Колбаски: остаточный тип;
1;155;Мясо;Тип;Название;regex;(?:сосиск\w*|сардельк\w*);Сосиски;overwrite;Мясо/Колбаски: сосиски и сардельки;"[{""join_with_prev"": ""and"", ""match_field"": ""Подкатегория"", ""match_type"": ""equals"", ""pattern"": ""Колбаски""}]"
1;160;Мясо;Тип;Название;regex;(?:вар[её]н\w*\s+колбас\w*|колбас\w*\s+вар[её]н\w*);Варёная колбаса;overwrite;Мясо/Колбаски: варёная колбаса;"[{""join_with_prev"": ""and"", ""match_field"": ""Подкатегория"", ""match_type"": ""equals"", ""pattern"": ""Колбаски""}, {""join_with_prev"": ""and"", ""match_field"": ""Название"", ""match_type"": ""not_contains"", ""pattern"": ""копч""}]"
1;165;Мясо;Тип;Название;regex;(?:сервелат\w*|вар[её]но[-\s]?копч\w*|в/к\b|вк\b);Сервелат (варёно-копчёная);overwrite;Мясо/Колбаски: сервелат и варёно-копчёная;"[{""join_with_prev"": ""and"", ""match_field"": ""Подкатегория"", ""match_type"": ""equals"", ""pattern"": ""Колбаски""}]"
1;97;Мясо;Вид мяса;Название;contains;Ц/Б;птица;overwrite;Птица цб;
1;98;Мясо;Вид мяса;Название;contains;фарш;свинина-говядина;overwrite;Свинина говядина фарш;"[{""join_with_prev"": ""and"", ""match_field"": ""Название"", ""match_type"": ""contains"", ""pattern"": ""домашний""}]"
1;240;Сахар;Подкатегория;Название;contains;белый;Белый;overwrite;;
1;250;Сахар;Подкатегория;Название;contains;тростник;Тростниковый;overwrite;;
1;260;Сахар;Тип;Название;contains;кусковой;Рафинад/кусковой;overwrite;;"[{""join_with_prev"": ""or"", ""match_field"": ""Название"", ""match_type"": ""contains"", ""pattern"": ""кусок""}, {""join_with_prev"": ""or"", ""match_field"": ""Название"", ""match_type"": ""contains"", ""pattern"": ""рафинад""}]"
