Чек;Категория;МП;FBS;От;До;Комментарий;Путь;Фильтр;Путь2;Фильтр2;Актуализация
1;Сахар;ЯМ;;;;;Продукты/Все для выпечки/Сахар;;;;
1;Сахар;WB;1;;;;Продукты/Бакалея/Сахар;"""Сахар""|""Песок""";;;
1;Сахар;Озон;1;;;;Продукты питания/Масла, соусы и специи/Сахар;"""Сахар""|""Песок""";;;
1;Майонез;Озон;1;2024;2025;;Ozon fresh/Молочное и яйца/Молоко, масло и яйца/Майонез;;;;
1;Майонез;WB;;2024;2025;;Продукты/Бакалея/Масла, соусы/Майонез;;;;
1;Майонез;ЯМ;;мар.25;дек.25;;Продукты/Молочная гастрономия/Майонез/Майонезы;;;;
1;Соус;Озон;1;2024;2025;;Продукты питания/Масла, соусы и специи/Соусы;;;;
1;Соус;WB;;2024;2025;;Продукты/Бакалея/Масла, соусы/Соус;;;;
1;Соус;ЯМ;;2024;2025;;Продукты/Бакалейные товары/Соусы, кетчупы;;;;
1;Сливки;Озон;1;2024;2025;;Продукты питания/Молочные продукты, сыры и яйца/Сливки;;;;
1;Сливки;WB;;2024;июн.25;;Продукты/Молочные продукты/Сливки;;;;
1;Сливки;ЯМ;;2024;2025;;Продукты/Молочная гастрономия/Сливки;;;;
1;Раст.напит.;Озон;1;2024;2025;;Продукты питания/Молочные продукты, сыры и яйца/Растительные продукты;;;;
1;Раст.напит.;WB;;2024;июн.25;;Продукты/Молочные продукты/Молоко растительное;;;;
1;Раст.напит.;WB;;июл.25;2025;;Продукты/Молочные продукты и яйца/Молоко растительное;;;;
1;Раст.напит.;ЯМ;;2024;2025;;Продукты/Молочная гастрономия/Растительные напитки;;;;
1;Масло подсолн.;Озон;1;2024;2025;;Продукты питания/Масла, соусы и специи/Масла/Подсолнечное;;;;
1;Масло подсолн.;WB;;2024;2025;;Продукты/Бакалея/Масла, соусы/Масло растительное;"""Подсолнечное""";;;
1;Масло подсолн.;ЯМ;;2024;2025;;Продукты/Бакалейные товары/Масло растительное;"""Подсолнечное""";;;
1;Масло смес;Озон;1;НД;НД;;НД;;;;
1;Масло смес;WB;;НД;НД;;НД;;;;
1;Масло смес;ЯМ;;НД;НД;;НД;;;;
1;Маргарин;Озон;1;2024;2025;;Продукты питания/Молочные продукты, сыры и яйца/Масло, маргарин и спред;"""Маргарин""";;;22.03.2026
1;Маргарин;WB;;июл.25;2025;;Продукты/Бакалея/Масла, соусы;"""Маргарин""";Продукты;"""Маргарин""";22.03.2026
1;Маргарин;ЯМ;;июн.25;2025;;Продукты/Молочная гастрономия/Масло и маргарин/Маргарин;;Продукты;"""Маргарин""";22.03.2026
1;Спред;Озон;1;ноя.24;2025;Доставка партнерами в т.ч за 2 ч;Продукты питания/Молочные продукты, сыры и яйца;"""Спред """;;;22.03.2026
1;Спред;WB;;2024;2025;;Продукты;"""Спред """;;;22.03.2026
1;Спред;ЯМ;;НД;НД;Не представлен;НД;;;;22.03.2026
1;Топленая смесь;Озон;1;апр.24;2025;;Продукты питания/Молочные продукты, сыры и яйца;"""топленая смесь""|""смесь топленая""";;;22.03.2026
1;Топленая смесь;Озон;1;апр.24;2025;;Продукты питания/Масла, соусы и специи;"""топленая смесь""|""смесь топленая""";;;22.03.2026
1;Топленая смесь;WB;;2024;2025;;Продукты;"""топленая смесь""|""смесь топленая""";;;22.03.2026
1;Топленая смесь;ЯМ;;НД;НД;Не представлена;НД;;;;22.03.2026
1;Вега-спред;Озон;1;2024;2025;;Продукты питания/Масла, соусы и специи;"""De olio""";;;22.03.2026
1;Вега-спред;Озон;1;2024;2025;;Продукты питания/Молочные продукты, сыры и яйца;"""De olio""";;;22.03.2026
1;Вега-спред;WB;;2024;2025;;Продукты/Бакалея/Масла, соусы;"""De Olio""|""Вега""";;;22.03.2026
1;Вега-спред;ЯМ;;;2025;;Продукты;"""Вегамасло""|""De olio""";;;22.03.2026
1;Кокосовое масло;Озон;1;;;;Продукты питания/Масла, соусы и специи/Масла;"""Кокос""";;;22.03.2026
1;Кокосовое масло;WB;;;;;Продукты/Бакалея/Масла, соусы;"""Кокос""";Продукты;"""Кокосовое масло""|""Масло кокосовое""";22.03.2026
1;Кокосовое масло;ЯМ;;;;;Продукты/Бакалейные товары/Масло растительное;"""Кокос""";Продукты;"""Кокосовое масло""|""Масло кокосовое""";22.03.2026
1;Сливочное масло;Озон;1;;;;Ozon fresh/Молочное и яйца/Молоко, масло и яйца/Масло, маргарин;"""Масло""";;;22.03.2026
1;Сливочное масло;WB;;;;;Продукты/Молочные продукты и яйца;"""масло сливочное""&NOT""топленое""";;;22.03.2026
1;Сливочное масло;ЯМ;;;;;Продукты/Молочная гастрономия/Масло и маргарин/Сливочное масло;;;;22.03.2026
1;Продукт раст.-слив.;Озон;1;;;;Продукты питания/Молочные продукты, сыры и яйца/Масло, маргарин и спред;"""продукт """;;;22.03.2026
1;Мыло;Озон;1;;;;Красота и здоровье/Уход за телом;"""мыло""";;;02.04.2026
1;Мыло;WB;;;;;Красота/;"""мыло""";;;02.04.2026
1;Мыло;ЯМ;;;;Фильтровать постфактум;Товары для красоты/Косметика, парфюмерия и уход;"""мыло""";;;02.04.2026
1;Мыло хозяйственное;Озон;1;;;;Бытовая химия и гигиена/Бытовая химия;"""мыло""&""хозяйственное""";;;02.04.2026
1;Мыло хозяйственное;WB;;;;;Дом/;"""мыло""&""хозяйственное""";;;02.04.2026
1;Мыло хозяйственное;ЯМ;;;;;Товары для дома/Бытовая химия;"""мыло""&""хозяйственное""";;;02.04.2026
